source,intel_type,title,description,latitude,longitude,timestamp
Manual Upload,HUMINT,Field Report 22,Ground report from field asset with directional notes.,28.62014,77.271316,2026-01-01T07:07:00Z
Manual Upload,HUMINT,Field Report 23,Ground report from field asset with directional notes.,28.520723,77.000745,2026-01-01T07:27:00Z
Manual Upload,HUMINT,Field Report 24,Ground report from field asset with directional notes.,28.570497,77.184046,2026-01-01T07:47:00Z
Manual Upload,HUMINT,Field Report 25,Ground report from field asset with directional notes.,28.802604,77.454624,2026-01-01T08:07:00Z
Manual Upload,HUMINT,Field Report 26,Ground report from field asset with directional notes.,28.385238,77.447716,2026-01-01T08:27:00Z
Manual Upload,HUMINT,Field Report 27,Ground report from field asset with directional notes.,28.392429,77.354295,2026-01-01T08:47:00Z
Manual Upload,HUMINT,Field Report 28,Ground report from field asset with directional notes.,28.713773,77.2394,2026-01-01T09:07:00Z
Manual Upload,HUMINT,Field Report 29,Ground report from field asset with directional notes.,28.441181,77.011649,2026-01-01T09:27:00Z
Manual Upload,HUMINT,Field Report 30,Ground report from field asset with directional notes.,28.551811,77.244067,2026-01-01T09:47:00Z
Manual Upload,HUMINT,Field Report 31,Ground report from field asset with directional notes.,28.790815,77.070526,2026-01-01T10:07:00Z
Manual Upload,HUMINT,Field Report 32,Ground report from field asset with directional notes.,28.800979,77.293575,2026-01-01T10:27:00Z
Manual Upload,HUMINT,Field Report 33,Ground report from field asset with directional notes.,28.538369,77.193244,2026-01-01T10:47:00Z
Manual Upload,HUMINT,Field Report 34,Ground report from field asset with directional notes.,28.631458,77.368145,2026-01-01T11:07:00Z
Manual Upload,HUMINT,Field Report 35,Ground report from field asset with directional notes.,28.41846,77.049137,2026-01-01T11:27:00Z
Manual Upload,HUMINT,Field Report 36,Ground report from field asset with directional notes.,28.418074,77.438774,2026-01-01T11:47:00Z
Manual Upload,HUMINT,Field Report 37,Ground report from field asset with directional notes.,28.562372,77.175557,2026-01-01T12:07:00Z
Manual Upload,HUMINT,Field Report 38,Ground report from field asset with directional notes.,28.56466,76.991236,2026-01-01T12:27:00Z
Manual Upload,HUMINT,Field Report 39,Ground report from field asset with directional notes.,28.535112,77.261185,2026-01-01T12:47:00Z
Manual Upload,HUMINT,Field Report 40,Ground report from field asset with directional notes.,28.470218,77.329642,2026-01-01T13:07:00Z
Manual Upload,HUMINT,Field Report 41,Ground report from field asset with directional notes.,28.421063,77.186289,2026-01-01T13:27:00Z
Manual Upload,HUMINT,Field Report 42,Ground report from field asset with directional notes.,28.636441,77.433267,2026-01-01T13:47:00Z
Manual Upload,HUMINT,Field Report 43,Ground report from field asset with directional notes.,28.436657,77.065735,2026-01-01T14:07:00Z
Manual Upload,HUMINT,Field Report 44,Ground report from field asset with directional notes.,28.648003,77.452905,2026-01-01T14:27:00Z
Manual Upload,HUMINT,Field Report 45,Ground report from field asset with directional notes.,28.751003,76.9902,2026-01-01T14:47:00Z
Manual Upload,HUMINT,Field Report 46,Ground report from field asset with directional notes.,28.768167,77.35378,2026-01-01T15:07:00Z
Manual Upload,HUMINT,Field Report 47,Ground report from field asset with directional notes.,28.85318,77.06571,2026-01-01T15:27:00Z
Manual Upload,HUMINT,Field Report 48,Ground report from field asset with directional notes.,28.469646,76.970471,2026-01-01T15:47:00Z
Manual Upload,HUMINT,Field Report 49,Ground report from field asset with directional notes.,28.743208,77.17046,2026-01-01T16:07:00Z
Manual Upload,HUMINT,Field Report 50,Ground report from field asset with directional notes.,28.489936,77.047053,2026-01-01T16:27:00Z
Manual Upload,HUMINT,Field Report 51,Ground report from field asset with directional notes.,28.434769,77.095953,2026-01-01T16:47:00Z
Manual Upload,HUMINT,Field Report 52,Ground report from field asset with directional notes.,28.404755,77.395888,2026-01-01T17:07:00Z
Manual Upload,HUMINT,Field Report 53,Ground report from field asset with directional notes.,28.58961,77.168861,2026-01-01T17:27:00Z
Manual Upload,HUMINT,Field Report 54,Ground report from field asset with directional notes.,28.470952,77.405537,2026-01-01T17:47:00Z
Manual Upload,HUMINT,Field Report 55,Ground report from field asset with directional notes.,28.455939,76.985871,2026-01-01T18:07:00Z
Manual Upload,HUMINT,Field Report 56,Ground report from field asset with directional notes.,28.811378,77.173267,2026-01-01T18:27:00Z
Manual Upload,HUMINT,Field Report 57,Ground report from field asset with directional notes.,28.845583,77.107452,2026-01-01T18:47:00Z
Manual Upload,HUMINT,Field Report 58,Ground report from field asset with directional notes.,28.463203,77.429971,2026-01-01T19:07:00Z
Manual Upload,HUMINT,Field Report 59,Ground report from field asset with directional notes.,28.604713,77.226753,2026-01-01T19:27:00Z
Manual Upload,HUMINT,Field Report 60,Ground report from field asset with directional notes.,28.755829,77.441795,2026-01-01T19:47:00Z
Manual Upload,HUMINT,Field Report 61,Ground report from field asset with directional notes.,28.582292,77.415299,2026-01-01T20:07:00Z
Manual Upload,HUMINT,Field Report 62,Ground report from field asset with directional notes.,28.649058,77.370508,2026-01-01T20:27:00Z
Manual Upload,HUMINT,Field Report 63,Ground report from field asset with directional notes.,28.644354,77.40589,2026-01-01T20:47:00Z
Manual Upload,HUMINT,Field Report 64,Ground report from field asset with directional notes.,28.46318,77.320362,2026-01-01T21:07:00Z
Manual Upload,HUMINT,Field Report 65,Ground report from field asset with directional notes.,28.653145,77.031309,2026-01-01T21:27:00Z
Manual Upload,HUMINT,Field Report 66,Ground report from field asset with directional notes.,28.695931,77.370752,2026-01-01T21:47:00Z
Manual Upload,HUMINT,Field Report 67,Ground report from field asset with directional notes.,28.731078,77.371617,2026-01-01T22:07:00Z
Manual Upload,HUMINT,Field Report 68,Ground report from field asset with directional notes.,28.730463,76.966093,2026-01-01T22:27:00Z
Manual Upload,HUMINT,Field Report 69,Ground report from field asset with directional notes.,28.812151,77.42591,2026-01-01T22:47:00Z
Manual Upload,HUMINT,Field Report 70,Ground report from field asset with directional notes.,28.613623,77.117204,2026-01-01T23:07:00Z
Manual Upload,HUMINT,Field Report 71,Ground report from field asset with directional notes.,28.759908,77.295973,2026-01-01T23:27:00Z
Manual Upload,HUMINT,Field Report 72,Ground report from field asset with directional notes.,28.495301,77.320143,2026-01-01T23:47:00Z
Manual Upload,HUMINT,Field Report 73,Ground report from field asset with directional notes.,28.858019,77.430662,2026-01-02T00:07:00Z
Manual Upload,HUMINT,Field Report 74,Ground report from field asset with directional notes.,28.792534,77.276147,2026-01-02T00:27:00Z
Manual Upload,HUMINT,Field Report 75,Ground report from field asset with directional notes.,28.683358,77.248189,2026-01-02T00:47:00Z
Manual Upload,HUMINT,Field Report 76,Ground report from field asset with directional notes.,28.382143,77.331854,2026-01-02T01:07:00Z
Manual Upload,HUMINT,Field Report 77,Ground report from field asset with directional notes.,28.457728,77.307223,2026-01-02T01:27:00Z
Manual Upload,HUMINT,Field Report 78,Ground report from field asset with directional notes.,28.751092,77.259472,2026-01-02T01:47:00Z
Manual Upload,HUMINT,Field Report 79,Ground report from field asset with directional notes.,28.471969,77.063882,2026-01-02T02:07:00Z
Manual Upload,HUMINT,Field Report 80,Ground report from field asset with directional notes.,28.45948,77.298814,2026-01-02T02:27:00Z
Manual Upload,HUMINT,Field Report 81,Ground report from field asset with directional notes.,28.841452,77.144128,2026-01-02T02:47:00Z
Manual Upload,HUMINT,Field Report 82,Ground report from field asset with directional notes.,28.545797,77.109972,2026-01-02T03:07:00Z
Manual Upload,HUMINT,Field Report 83,Ground report from field asset with directional notes.,28.517383,77.368526,2026-01-02T03:27:00Z
Manual Upload,HUMINT,Field Report 84,Ground report from field asset with directional notes.,28.426273,77.208565,2026-01-02T03:47:00Z
Manual Upload,HUMINT,Field Report 85,Ground report from field asset with directional notes.,28.863424,77.166027,2026-01-02T04:07:00Z
Manual Upload,HUMINT,Field Report 86,Ground report from field asset with directional notes.,28.539764,77.373093,2026-01-02T04:27:00Z
Manual Upload,HUMINT,Field Report 87,Ground report from field asset with directional notes.,28.576825,77.446035,2026-01-02T04:47:00Z
Manual Upload,HUMINT,Field Report 88,Ground report from field asset with directional notes.,28.531813,77.422174,2026-01-02T05:07:00Z
Manual Upload,HUMINT,Field Report 89,Ground report from field asset with directional notes.,28.593312,77.145561,2026-01-02T05:27:00Z
Manual Upload,HUMINT,Field Report 90,Ground report from field asset with directional notes.,28.640277,77.040329,2026-01-02T05:47:00Z
Manual Upload,HUMINT,Field Report 91,Ground report from field asset with directional notes.,28.581838,77.101514,2026-01-02T06:07:00Z
Manual Upload,HUMINT,Field Report 92,Ground report from field asset with directional notes.,28.693703,77.299141,2026-01-02T06:27:00Z
Manual Upload,HUMINT,Field Report 93,Ground report from field asset with directional notes.,28.680954,77.310046,2026-01-02T06:47:00Z
Manual Upload,HUMINT,Field Report 94,Ground report from field asset with directional notes.,28.832851,77.411941,2026-01-02T07:07:00Z
Manual Upload,HUMINT,Field Report 95,Ground report from field asset with directional notes.,28.413513,77.00281,2026-01-02T07:27:00Z
Manual Upload,HUMINT,Field Report 96,Ground report from field asset with directional notes.,28.782517,77.003819,2026-01-02T07:47:00Z
Manual Upload,HUMINT,Field Report 97,Ground report from field asset with directional notes.,28.372113,77.425248,2026-01-02T08:07:00Z
Manual Upload,HUMINT,Field Report 98,Ground report from field asset with directional notes.,28.415738,77.333972,2026-01-02T08:27:00Z
Manual Upload,HUMINT,Field Report 99,Ground report from field asset with directional notes.,28.675813,77.231367,2026-01-02T08:47:00Z
Manual Upload,HUMINT,Field Report 100,Ground report from field asset with directional notes.,28.680663,77.210681,2026-01-02T09:07:00Z
Manual Upload,HUMINT,Field Report 101,Ground report from field asset with directional notes.,28.766835,77.292855,2026-01-02T09:27:00Z
Manual Upload,HUMINT,Field Report 102,Ground report from field asset with directional notes.,28.789753,77.064936,2026-01-02T09:47:00Z
Manual Upload,HUMINT,Field Report 103,Ground report from field asset with directional notes.,28.75234,77.234794,2026-01-02T10:07:00Z
Manual Upload,HUMINT,Field Report 104,Ground report from field asset with directional notes.,28.421151,77.387171,2026-01-02T10:27:00Z
Manual Upload,HUMINT,Field Report 105,Ground report from field asset with directional notes.,28.839176,77.134307,2026-01-02T10:47:00Z
Manual Upload,HUMINT,Field Report 106,Ground report from field asset with directional notes.,28.760776,77.190974,2026-01-02T11:07:00Z
Manual Upload,HUMINT,Field Report 107,Ground report from field asset with directional notes.,28.817897,77.28143,2026-01-02T11:27:00Z
Manual Upload,HUMINT,Field Report 108,Ground report from field asset with directional notes.,28.756218,77.156904,2026-01-02T11:47:00Z
Manual Upload,HUMINT,Field Report 109,Ground report from field asset with directional notes.,28.833708,77.350098,2026-01-02T12:07:00Z
Manual Upload,HUMINT,Field Report 110,Ground report from field asset with directional notes.,28.61768,77.092805,2026-01-02T12:27:00Z
Manual Upload,HUMINT,Field Report 111,Ground report from field asset with directional notes.,28.693241,77.112698,2026-01-02T12:47:00Z
Manual Upload,HUMINT,Field Report 112,Ground report from field asset with directional notes.,28.815237,77.413669,2026-01-02T13:07:00Z
Manual Upload,HUMINT,Field Report 113,Ground report from field asset with directional notes.,28.70055,76.961079,2026-01-02T13:27:00Z
Manual Upload,HUMINT,Field Report 114,Ground report from field asset with directional notes.,28.81843,76.975337,2026-01-02T13:47:00Z
Manual Upload,HUMINT,Field Report 115,Ground report from field asset with directional notes.,28.377023,77.354255,2026-01-02T14:07:00Z
Manual Upload,HUMINT,Field Report 116,Ground report from field asset with directional notes.,28.784285,77.218482,2026-01-02T14:27:00Z
Manual Upload,HUMINT,Field Report 117,Ground report from field asset with directional notes.,28.734523,77.117735,2026-01-02T14:47:00Z
Manual Upload,HUMINT,Field Report 118,Ground report from field asset with directional notes.,28.449105,77.245094,2026-01-02T15:07:00Z
Manual Upload,HUMINT,Field Report 119,Ground report from field asset with directional notes.,28.57891,77.23687,2026-01-02T15:27:00Z
Manual Upload,HUMINT,Field Report 120,Ground report from field asset with directional notes.,28.559581,77.267134,2026-01-02T15:47:00Z
Manual Upload,HUMINT,Field Report 121,Ground report from field asset with directional notes.,28.560559,76.98479,2026-01-02T16:07:00Z
Manual Upload,HUMINT,Field Report 122,Ground report from field asset with directional notes.,28.82987,77.173551,2026-01-02T16:27:00Z
Manual Upload,HUMINT,Field Report 123,Ground report from field asset with directional notes.,28.833596,77.154206,2026-01-02T16:47:00Z
Manual Upload,HUMINT,Field Report 124,Ground report from field asset with directional notes.,28.727956,77.16056,2026-01-02T17:07:00Z
Manual Upload,HUMINT,Field Report 125,Ground report from field asset with directional notes.,28.522962,77.038222,2026-01-02T17:27:00Z
Manual Upload,HUMINT,Field Report 126,Ground report from field asset with directional notes.,28.479385,77.314012,2026-01-02T17:47:00Z
Manual Upload,HUMINT,Field Report 127,Ground report from field asset with directional notes.,28.427065,77.018186,2026-01-02T18:07:00Z
Manual Upload,HUMINT,Field Report 128,Ground report from field asset with directional notes.,28.652367,77.155006,2026-01-02T18:27:00Z
Manual Upload,HUMINT,Field Report 129,Ground report from field asset with directional notes.,28.744986,77.417333,2026-01-02T18:47:00Z
Manual Upload,HUMINT,Field Report 130,Ground report from field asset with directional notes.,28.782569,77.038527,2026-01-02T19:07:00Z
Manual Upload,HUMINT,Field Report 131,Ground report from field asset with directional notes.,28.525102,77.005627,2026-01-02T19:27:00Z
Manual Upload,HUMINT,Field Report 132,Ground report from field asset with directional notes.,28.37672,76.964769,2026-01-02T19:47:00Z
Manual Upload,HUMINT,Field Report 133,Ground report from field asset with directional notes.,28.748916,77.035524,2026-01-02T20:07:00Z
Manual Upload,HUMINT,Field Report 134,Ground report from field asset with directional notes.,28.67295,77.230836,2026-01-02T20:27:00Z
Manual Upload,HUMINT,Field Report 135,Ground report from field asset with directional notes.,28.8501,77.244897,2026-01-02T20:47:00Z
Manual Upload,HUMINT,Field Report 136,Ground report from field asset with directional notes.,28.376545,77.326085,2026-01-02T21:07:00Z
Manual Upload,HUMINT,Field Report 137,Ground report from field asset with directional notes.,28.855607,77.276232,2026-01-02T21:27:00Z
Manual Upload,HUMINT,Field Report 138,Ground report from field asset with directional notes.,28.752695,77.052278,2026-01-02T21:47:00Z
Manual Upload,HUMINT,Field Report 139,Ground report from field asset with directional notes.,28.690161,77.069878,2026-01-02T22:07:00Z
Manual Upload,HUMINT,Field Report 140,Ground report from field asset with directional notes.,28.460814,77.379228,2026-01-02T22:27:00Z
Manual Upload,HUMINT,Field Report 141,Ground report from field asset with directional notes.,28.727056,77.362549,2026-01-02T22:47:00Z
Manual Upload,HUMINT,Field Report 142,Ground report from field asset with directional notes.,28.552953,77.08924,2026-01-02T23:07:00Z
Manual Upload,HUMINT,Field Report 143,Ground report from field asset with directional notes.,28.389774,77.000482,2026-01-02T23:27:00Z
Manual Upload,HUMINT,Field Report 144,Ground report from field asset with directional notes.,28.435785,76.97057,2026-01-02T23:47:00Z
Manual Upload,HUMINT,Field Report 145,Ground report from field asset with directional notes.,28.856299,77.39247,2026-01-03T00:07:00Z
Manual Upload,HUMINT,Field Report 146,Ground report from field asset with directional notes.,28.419366,77.4226,2026-01-03T00:27:00Z
Manual Upload,HUMINT,Field Report 147,Ground report from field asset with directional notes.,28.425242,77.029918,2026-01-03T00:47:00Z
Manual Upload,HUMINT,Field Report 148,Ground report from field asset with directional notes.,28.494897,77.049314,2026-01-03T01:07:00Z
Manual Upload,HUMINT,Field Report 149,Ground report from field asset with directional notes.,28.402591,77.381312,2026-01-03T01:27:00Z
Manual Upload,HUMINT,Field Report 150,Ground report from field asset with directional notes.,28.82026,77.062986,2026-01-03T01:47:00Z
Manual Upload,HUMINT,Field Report 151,Ground report from field asset with directional notes.,28.414236,77.356721,2026-01-03T02:07:00Z
Manual Upload,HUMINT,Field Report 152,Ground report from field asset with directional notes.,28.570773,77.202259,2026-01-03T02:27:00Z
Manual Upload,HUMINT,Field Report 153,Ground report from field asset with directional notes.,28.676741,77.064148,2026-01-03T02:47:00Z
Manual Upload,HUMINT,Field Report 154,Ground report from field asset with directional notes.,28.573854,77.403857,2026-01-03T03:07:00Z
Manual Upload,HUMINT,Field Report 155,Ground report from field asset with directional notes.,28.680676,77.184439,2026-01-03T03:27:00Z
Manual Upload,HUMINT,Field Report 156,Ground report from field asset with directional notes.,28.444452,77.108377,2026-01-03T03:47:00Z
Manual Upload,HUMINT,Field Report 157,Ground report from field asset with directional notes.,28.815719,77.288833,2026-01-03T04:07:00Z
Manual Upload,HUMINT,Field Report 158,Ground report from field asset with directional notes.,28.679507,77.386404,2026-01-03T04:27:00Z
Manual Upload,HUMINT,Field Report 159,Ground report from field asset with directional notes.,28.422504,77.130405,2026-01-03T04:47:00Z
Manual Upload,HUMINT,Field Report 160,Ground report from field asset with directional notes.,28.537292,77.456458,2026-01-03T05:07:00Z
Manual Upload,HUMINT,Field Report 161,Ground report from field asset with directional notes.,28.663896,76.961507,2026-01-03T05:27:00Z
Manual Upload,HUMINT,Field Report 162,Ground report from field asset with directional notes.,28.624774,77.086251,2026-01-03T05:47:00Z
Manual Upload,HUMINT,Field Report 163,Ground report from field asset with directional notes.,28.424697,77.262055,2026-01-03T06:07:00Z
Manual Upload,HUMINT,Field Report 164,Ground report from field asset with directional notes.,28.631877,77.217997,2026-01-03T06:27:00Z
Manual Upload,HUMINT,Field Report 165,Ground report from field asset with directional notes.,28.74438,77.067153,2026-01-03T06:47:00Z
Manual Upload,HUMINT,Field Report 166,Ground report from field asset with directional notes.,28.546345,77.408286,2026-01-03T07:07:00Z
Manual Upload,HUMINT,Field Report 167,Ground report from field asset with directional notes.,28.378649,77.028283,2026-01-03T07:27:00Z
Manual Upload,HUMINT,Field Report 168,Ground report from field asset with directional notes.,28.405621,77.304801,2026-01-03T07:47:00Z
Manual Upload,HUMINT,Field Report 169,Ground report from field asset with directional notes.,28.42719,77.095833,2026-01-03T08:07:00Z
Manual Upload,HUMINT,Field Report 170,Ground report from field asset with directional notes.,28.463519,77.004985,2026-01-03T08:27:00Z
Manual Upload,HUMINT,Field Report 171,Ground report from field asset with directional notes.,28.717942,77.284962,2026-01-03T08:47:00Z
Manual Upload,HUMINT,Field Report 172,Ground report from field asset with directional notes.,28.597422,77.363506,2026-01-03T09:07:00Z
Manual Upload,HUMINT,Field Report 173,Ground report from field asset with directional notes.,28.581931,77.432173,2026-01-03T09:27:00Z
Manual Upload,HUMINT,Field Report 174,Ground report from field asset with directional notes.,28.825074,77.084047,2026-01-03T09:47:00Z
Manual Upload,HUMINT,Field Report 175,Ground report from field asset with directional notes.,28.462838,77.382018,2026-01-03T10:07:00Z
Manual Upload,HUMINT,Field Report 176,Ground report from field asset with directional notes.,28.722598,77.439936,2026-01-03T10:27:00Z
Manual Upload,HUMINT,Field Report 177,Ground report from field asset with directional notes.,28.415347,77.355577,2026-01-03T10:47:00Z
Manual Upload,HUMINT,Field Report 178,Ground report from field asset with directional notes.,28.657689,77.041827,2026-01-03T11:07:00Z
Manual Upload,HUMINT,Field Report 179,Ground report from field asset with directional notes.,28.466816,77.32003,2026-01-03T11:27:00Z
Manual Upload,HUMINT,Field Report 180,Ground report from field asset with directional notes.,28.580636,77.182079,2026-01-03T11:47:00Z
Manual Upload,HUMINT,Field Report 181,Ground report from field asset with directional notes.,28.662065,77.094837,2026-01-03T12:07:00Z
Manual Upload,HUMINT,Field Report 182,Ground report from field asset with directional notes.,28.523274,77.01278,2026-01-03T12:27:00Z
Manual Upload,HUMINT,Field Report 183,Ground report from field asset with directional notes.,28.555423,77.05886,2026-01-03T12:47:00Z
Manual Upload,HUMINT,Field Report 184,Ground report from field asset with directional notes.,28.540358,77.407947,2026-01-03T13:07:00Z
Manual Upload,HUMINT,Field Report 185,Ground report from field asset with directional notes.,28.773571,77.183702,2026-01-03T13:27:00Z
Manual Upload,HUMINT,Field Report 186,Ground report from field asset with directional notes.,28.808625,77.438049,2026-01-03T13:47:00Z
Manual Upload,HUMINT,Field Report 187,Ground report from field asset with directional notes.,28.490432,77.163904,2026-01-03T14:07:00Z
Manual Upload,HUMINT,Field Report 188,Ground report from field asset with directional notes.,28.665841,77.397626,2026-01-03T14:27:00Z
Manual Upload,HUMINT,Field Report 189,Ground report from field asset with directional notes.,28.839089,77.224249,2026-01-03T14:47:00Z
Manual Upload,HUMINT,Field Report 190,Ground report from field asset with directional notes.,28.563053,77.016325,2026-01-03T15:07:00Z
Manual Upload,HUMINT,Field Report 191,Ground report from field asset with directional notes.,28.76842,77.173693,2026-01-03T15:27:00Z
Manual Upload,HUMINT,Field Report 192,Ground report from field asset with directional notes.,28.456857,77.081659,2026-01-03T15:47:00Z
Manual Upload,HUMINT,Field Report 193,Ground report from field asset with directional notes.,28.471492,77.14483,2026-01-03T16:07:00Z
Manual Upload,HUMINT,Field Report 194,Ground report from field asset with directional notes.,28.43642,77.116226,2026-01-03T16:27:00Z
Manual Upload,HUMINT,Field Report 195,Ground report from field asset with directional notes.,28.368716,77.303146,2026-01-03T16:47:00Z
Manual Upload,HUMINT,Field Report 196,Ground report from field asset with directional notes.,28.722301,77.065886,2026-01-03T17:07:00Z
Manual Upload,HUMINT,Field Report 197,Ground report from field asset with directional notes.,28.647635,77.119781,2026-01-03T17:27:00Z
Manual Upload,HUMINT,Field Report 198,Ground report from field asset with directional notes.,28.480224,76.992118,2026-01-03T17:47:00Z
Manual Upload,HUMINT,Field Report 199,Ground report from field asset with directional notes.,28.505707,77.065088,2026-01-03T18:07:00Z
Manual Upload,HUMINT,Field Report 200,Ground report from field asset with directional notes.,28.472632,77.239479,2026-01-03T18:27:00Z
Manual Upload,HUMINT,Field Report 201,Ground report from field asset with directional notes.,28.722033,77.432136,2026-01-03T18:47:00Z
Manual Upload,HUMINT,Field Report 202,Ground report from field asset with directional notes.,28.767613,77.294672,2026-01-03T19:07:00Z
Manual Upload,HUMINT,Field Report 203,Ground report from field asset with directional notes.,28.650874,77.282135,2026-01-03T19:27:00Z
Manual Upload,HUMINT,Field Report 204,Ground report from field asset with directional notes.,28.704966,77.176603,2026-01-03T19:47:00Z
Manual Upload,HUMINT,Field Report 205,Ground report from field asset with directional notes.,28.770597,77.058075,2026-01-03T20:07:00Z
Manual Upload,HUMINT,Field Report 206,Ground report from field asset with directional notes.,28.38873,77.205967,2026-01-03T20:27:00Z
Manual Upload,HUMINT,Field Report 207,Ground report from field asset with directional notes.,28.387296,77.096208,2026-01-03T20:47:00Z
Manual Upload,HUMINT,Field Report 208,Ground report from field asset with directional notes.,28.42353,77.185393,2026-01-03T21:07:00Z
Manual Upload,HUMINT,Field Report 209,Ground report from field asset with directional notes.,28.664615,77.254586,2026-01-03T21:27:00Z
Manual Upload,HUMINT,Field Report 210,Ground report from field asset with directional notes.,28.482111,76.969634,2026-01-03T21:47:00Z
Manual Upload,HUMINT,Field Report 211,Ground report from field asset with directional notes.,28.372818,77.350653,2026-01-03T22:07:00Z
Manual Upload,HUMINT,Field Report 212,Ground report from field asset with directional notes.,28.651779,76.961324,2026-01-03T22:27:00Z
Manual Upload,HUMINT,Field Report 213,Ground report from field asset with directional notes.,28.594786,77.024529,2026-01-03T22:47:00Z
Manual Upload,HUMINT,Field Report 214,Ground report from field asset with directional notes.,28.847327,76.977504,2026-01-03T23:07:00Z
Manual Upload,HUMINT,Field Report 215,Ground report from field asset with directional notes.,28.630634,77.222757,2026-01-03T23:27:00Z
Manual Upload,HUMINT,Field Report 216,Ground report from field asset with directional notes.,28.532595,76.967136,2026-01-03T23:47:00Z
Manual Upload,HUMINT,Field Report 217,Ground report from field asset with directional notes.,28.598847,77.373925,2026-01-04T00:07:00Z
Manual Upload,HUMINT,Field Report 218,Ground report from field asset with directional notes.,28.571439,77.109499,2026-01-04T00:27:00Z
Manual Upload,HUMINT,Field Report 219,Ground report from field asset with directional notes.,28.522495,77.131912,2026-01-04T00:47:00Z
Manual Upload,HUMINT,Field Report 220,Ground report from field asset with directional notes.,28.403784,77.346307,2026-01-04T01:07:00Z
Manual Upload,HUMINT,Field Report 221,Ground report from field asset with directional notes.,28.610809,76.982536,2026-01-04T01:27:00Z
Manual Upload,HUMINT,Field Report 222,Ground report from field asset with directional notes.,28.513122,77.450983,2026-01-04T01:47:00Z
Manual Upload,HUMINT,Field Report 223,Ground report from field asset with directional notes.,28.610568,77.279549,2026-01-04T02:07:00Z
Manual Upload,HUMINT,Field Report 224,Ground report from field asset with directional notes.,28.819136,77.380538,2026-01-04T02:27:00Z
Manual Upload,HUMINT,Field Report 225,Ground report from field asset with directional notes.,28.832752,77.010372,2026-01-04T02:47:00Z
Manual Upload,HUMINT,Field Report 226,Ground report from field asset with directional notes.,28.475907,77.371728,2026-01-04T03:07:00Z
Manual Upload,HUMINT,Field Report 227,Ground report from field asset with directional notes.,28.433267,77.45577,2026-01-04T03:27:00Z
Manual Upload,HUMINT,Field Report 228,Ground report from field asset with directional notes.,28.794594,77.321127,2026-01-04T03:47:00Z
Manual Upload,HUMINT,Field Report 229,Ground report from field asset with directional notes.,28.477071,77.003008,2026-01-04T04:07:00Z
Manual Upload,HUMINT,Field Report 230,Ground report from field asset with directional notes.,28.725954,77.365141,2026-01-04T04:27:00Z
Manual Upload,HUMINT,Field Report 231,Ground report from field asset with directional notes.,28.771974,77.227779,2026-01-04T04:47:00Z
Manual Upload,HUMINT,Field Report 232,Ground report from field asset with directional notes.,28.366371,77.303121,2026-01-04T05:07:00Z
